Account,Sentiment,Total_Trades,Total_Volume_USD,Total_PnL,Avg_Trade_Size,Win_Rate,Avg_Fear_Greed_Value,Cluster
0xb899e522b5715391ae1d4f137653e7906c5e2115,Extreme Fear,1577,32610576.83,-33221.806818000005,20678.86926442613,0.3360811667723525,21.178820545339253,1
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,2947,68691467.31,51692.358711,23308.947170003397,0.5110281642348151,30.048523922633187,1
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,314,7574996.959999999,4017.9489279999993,24124.194140127387,0.2738853503184713,46.11464968152866,1
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,4480,19924907.69,261917.977792,4447.524037946428,0.3794642857142857,21.0484375,3
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,12437,40734967.95,620872.375844,3275.304973064244,0.4982712872879312,30.23003939856879,2
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,5,356.17,4.672458,71.234,0.2,68.8,3
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,4270,7376108.43,57368.780126000005,1727.425861826698,0.47096018735363,49.0,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,387,3876163.91,37712.523409,10015.927416020671,0.2506459948320413,17.689922480620154,3
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,310,893183.5,6053.160570000001,2881.2370967741936,0.0838709677419354,77.49032258064516,3
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,1181,10712789.22,236797.727737,9070.94768839966,0.4987298899237934,33.9813717188823,3
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,350,839231.03,30258.203855,2397.802942857143,0.2428571428571428,70.85428571428571,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,413,4416024.05,-90302.55371799998,10692.552179176757,0.1646489104116222,49.93462469733656,3
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,5079,7342854.15,30774.092128,1445.72832250443,0.4132703288048828,18.060838747785,3
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,6723,16527882.25,478811.46818500006,2458.4087832812734,0.5963111706083594,78.65223858396548,2
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,12901,19395677.62,55978.79696000001,1503.4243562514534,0.3765599565925122,31.844973257886984,3
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,7338,17601612.08,243399.51314,2398.693387844099,0.4647042790951213,69.09225947124557,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,8143,13239784.34,27116.682664,1625.9099029841582,0.34778337222154,47.61611199803512,3
